date,state,positive
20200912,AK,7131
20200912,AL,137646
20200912,AR,69710
20200912,AS,0
20200912,AZ,208128
20200912,CA,750298
20200912,CO,60492
20200912,CT,54326
20200912,DC,14552
20200912,DE,18726
20200912,FL,661571
20200912,GA,292905
20200912,GU,1891
20200912,HI,10459
20200912,IA,71706
20200912,ID,34950
20200912,IL,262004
20200912,IN,104561
20200912,KS,48386
20200912,KY,56415
20200912,LA,157109
20200912,MA,124540
20200912,MD,115533
20200912,ME,4834
20200912,MI,123058
20200912,MN,83588
20200912,MO,101134
20200912,MP,60
20200912,MS,89620
20200912,MT,8925
20200912,NC,183740
20200912,ND,15151
20200912,NE,37841
20200912,NH,7652
20200912,NJ,196337
20200912,NM,26563
20200912,NV,73220
20200912,NY,443640
20200912,OH,136568
20200912,OK,68659
20200912,OR,29156
20200912,PA,143805
20200912,PR,37092
20200912,RI,22905
20200912,SC,129978
20200912,SD,16437
20200912,TN,170891
20200912,TX,653356
20200912,UT,57247
20200912,VA,132940
20200912,VI,1211
20200912,VT,1677
20200912,WA,79011
20200912,WI,93055
20200912,WV,12521
20200912,WY,4297
20200911,AK,7024
20200911,AL,136703
20200911,AR,68983
20200911,AS,0
20200911,AZ,207523
20200911,CA,746191
20200911,CO,60185
20200911,CT,54326
20200911,DC,14493
20200911,DE,18466
20200911,FL,658381
20200911,GA,290781
20200911,GU,1863
20200911,HI,10292
20200911,IA,71133
20200911,ID,34617
20200911,IL,259883
20200911,IN,103505
20200911,KS,48386
20200911,KY,55704
20200911,LA,157109
20200911,MA,123986
20200911,MD,114724
20200911,ME,4792
20200911,MI,122251
20200911,MN,82716
20200911,MO,99160
20200911,MP,59
20200911,MS,89175
20200911,MT,8785
20200911,NC,182286
20200911,ND,14684
20200911,NE,37373
20200911,NH,7620
20200911,NJ,195888
20200911,NM,26429
20200911,NV,72806
20200911,NY,442791
20200911,OH,135326
20200911,OK,67642
20200911,OR,28865
20200911,PA,142885
20200911,PR,36581
20200911,RI,22905
20200911,SC,129046
20200911,SD,16117
20200911,TN,169859
20200911,TX,653356
20200911,UT,56675
20200911,VA,131640
20200911,VI,1201
20200911,VT,1668
20200911,WA,79011
20200911,WI,91625
20200911,WV,12174
20200911,WY,4264
20200910,AK,6915
20200910,AL,135565
20200910,AR,67803
20200910,AS,0
20200910,AZ,207002
20200910,CA,742865
20200910,CO,59920
20200910,CT,54093
20200910,DC,14412
20200910,DE,18466
20200910,FL,654731
20200910,GA,289123
20200910,GU,1846
20200910,HI,10123
20200910,IA,70405
20200910,ID,34310
20200910,IL,257571
20200910,IN,102243
20200910,KS,47410
20200910,KY,54772
20200910,LA,156354
20200910,MA,123546
20200910,MD,114078
20200910,ME,4760
20200910,MI,120846
20200910,MN,82249
20200910,MO,97591
20200910,MP,59
20200910,MS,88322
20200910,MT,8663
20200910,NC,180754
20200910,ND,14443
20200910,NE,36917
20200910,NH,7573
20200910,NJ,195414
20200910,NM,26268
20200910,NV,72546
20200910,NY,441911
20200910,OH,134086
20200910,OK,66700
20200910,OR,28654
20200910,PA,141877
20200910,PR,36279
20200910,RI,22782
20200910,SC,126592
20200910,SD,15834
20200910,TN,168237
20200910,TX,649809
20200910,UT,56019
20200910,VA,130525
20200910,VI,1197
20200910,VT,1661
20200910,WA,78467
20200910,WI,90182
20200910,WV,12017
20200910,WY,4199
20200909,AK,6790
20200909,AL,134417
20200909,AR,67255
20200909,AS,0
20200909,AZ,206541
20200909,CA,739527
20200909,CO,59674
20200909,CT,53871
20200909,DC,14387
20200909,DE,18308
20200909,FL,652148
20200909,GA,287287
20200909,GU,1758
20200909,HI,10025
20200909,IA,69503
20200909,ID,33981
20200909,IL,255618
20200909,IN,101485
20200909,KS,47410
20200909,KY,53977
20200909,LA,155890
20200909,MA,123143
20200909,MD,113575
20200909,ME,4734
20200909,MI,119863
20200909,MN,81868
20200909,MO,96475
20200909,MP,59
20200909,MS,87805
20200909,MT,8468
20200909,NC,179532
20200909,ND,14110
20200909,NE,36477
20200909,NH,7494
20200909,NJ,194990
20200909,NM,26181
20200909,NV,72258
20200909,NY,441154
20200909,OH,132965
20200909,OK,65929
20200909,OR,28471
20200909,PA,141290
20200909,PR,35507
20200909,RI,22676
20200909,SC,126213
20200909,SD,15571
20200909,TN,166587
20200909,TX,645791
20200909,UT,55673
20200909,VA,129289
20200909,VI,1191
20200909,VT,1656
20200909,WA,78009
20200909,WI,88590
20200909,WV,11808
20200909,WY,4151
20200908,AK,6724
20200908,AL,133606
20200908,AR,66757
20200908,AS,0
20200908,AZ,206045
20200908,CA,737911
20200908,CO,59487
20200908,CT,53782
20200908,DC,14362
20200908,DE,18308
20200908,FL,650092
20200908,GA,285350
20200908,GU,1713
20200908,HI,9959
20200908,IA,69139
20200908,ID,33741
20200908,IL,254281
20200908,IN,100780
20200908,KS,46914
20200908,KY,53319
20200908,LA,154329
20200908,MA,122962
20200908,MD,113239
20200908,ME,4713
20200908,MI,118902
20200908,MN,81608
20200908,MO,95113
20200908,MP,59
20200908,MS,87379
20200908,MT,8381
20200908,NC,178635
20200908,ND,13872
20200908,NE,35975
20200908,NH,7494
20200908,NJ,194667
20200908,NM,26144
20200908,NV,72104
20200908,NY,440578
20200908,OH,131992
20200908,OK,65053
20200908,OR,28355
20200908,PA,140359
20200908,PR,35504
20200908,RI,22592
20200908,SC,125908
20200908,SD,15403
20200908,TN,165754
20200908,TX,641791
20200908,UT,55359
20200908,VA,128407
20200908,VI,1191
20200908,VT,1654
20200908,WA,77235
20200908,WI,87677
20200908,WV,11661
20200908,WY,4103
20200907,AK,6690
20200907,AL,132973
20200907,AR,66280
20200907,AS,0
20200907,AZ,205964
20200907,CA,735235
20200907,CO,59274
20200907,CT,53365
20200907,DC,14315
20200907,DE,18249
20200907,FL,648269
20200907,GA,283807
20200907,GU,1671
20200907,HI,9855
20200907,IA,68684
20200907,ID,33667
20200907,IL,252889
20200907,IN,100394
20200907,KS,46914
20200907,KY,53064
20200907,LA,154073
20200907,MA,122791
20200907,MD,112883
20200907,ME,4701
20200907,MI,118403
20200907,MN,81225
20200907,MO,94340
20200907,MP,58
20200907,MS,87130
20200907,MT,8316
20200907,NC,177919
20200907,ND,13797
20200907,NE,35886
20200907,NH,7476
20200907,NJ,194390
20200907,NM,26107
20200907,NV,71967
20200907,NY,440021
20200907,OH,131336
20200907,OK,64220
20200907,OR,28190
20200907,PA,139863
20200907,PR,35375
20200907,RI,22572
20200907,SC,125607
20200907,SD,15300
20200907,TN,165109
20200907,TX,640370
20200907,UT,55033
20200907,VA,127571
20200907,VI,1190
20200907,VT,1651
20200907,WA,77235
20200907,WI,86928
20200907,WV,11575
20200907,WY,4032
20200906,AK,6656
20200906,AL,132314
20200906,AR,65226
20200906,AS,0
20200906,AZ,205766
20200906,CA,732144
20200906,CO,58989
20200906,CT,53365
20200906,DC,14279
20200906,DE,18043
20200906,FL,646431
20200906,GA,283199
20200906,GU,1671
20200906,HI,9693
20200906,IA,68291
20200906,ID,33477
20200906,IL,251508
20200906,IN,99804
20200906,KS,45220
20200906,KY,52774
20200906,LA,153764
20200906,MA,122562
20200906,MD,112119
20200906,ME,4682
20200906,MI,117191
20200906,MN,80587
20200906,MO,93434
20200906,MP,58
20200906,MS,86888
20200906,MT,8264
20200906,NC,176901
20200906,ND,13626
20200906,NE,35805
20200906,NH,7447
